"review_id","date","job_title","location","employment_status","rating","headline","pros","cons","recommend","ceo_approval","business_outlook","page","employer_name","employer_id","market"
"101591603","2. Dez. 2025","Mac genius","Dresden","Aktueller Mitarbeiter, mehr als 10 Jahre","3.0","Für den Einzelhandel vollkommen ausreichend","- Für den allgemeinen Einzelhandel sind die Gehälter und Zusatzleistungen durchaus angemessen.","- Es scheint, als könnten Führungskräfte von einer besseren Ausbildung und mehr Expertise profitieren. - Flexibilität bezüglich Arbeitszeiten ist eher eingeschränkt. - Für den ""Premium-Einzelhandel"", in den Apple sich zumindest intern zählt, sind die Gehälter im Vergleich zu Umsätzen und Gewinnen viel zu gering. Die Gehaltsunterschiede in Deutschland teilweise zu groß. - Interne Bewerbungsverfahren fühlen sich wie ein Glücksspiel, anstatt nach einem durchdachten und objektiven Prozess an. Es scheint weniger wichtig zu sein, wie gut man sich im eigentlichen Job präsentiert und welche Erfahrungen man in den letzten Jahren gesammelt hat, sondern vielmehr, wie gut man in der Lage ist, interessante und ansprechende Geschichten im Bewerbungsgespräch zu erzählen, auch wenn sie ggf. nicht immer der Wahrheit entsprechen.","negative","positive","positive",3,"Apple","1138","DE"
"100809482","22. Okt. 2025","Ai/ml annotation analyst","Cork","Ehemaliger Mitarbeiter, mehr als 1 Jahr","4.0","Fair Employer but wrong location","-team orientated - great colleagues - fair hours","- monoton work - hard to get promotion","positive","positive","positive",3,"Apple","1138","DE"
"100601454","12. Okt. 2025","Mitarbeiter (anonym)",NA,"Ehemaliger Mitarbeiter, weniger als 1 Jahr","3.0","Good","Flexibel working Hours and international Environment","It would be better if long term position existed","none","none","none",3,"Apple","1138","DE"
"100566343","10. Okt. 2025","Ai/ml annotation analyst","Barcelona","Ehemaliger Mitarbeiter, mehr als 3 Jahre","3.0","Apple is not as great as everyone thinks","- good for Resume - easy job role - office equipment up to date - great extras (medical insurance, discounts, etc.)","- unreachable daily goals and objectives - lack of empathy and human connection - no room for suggestions or improvements - being a number, not a person","negative","none","none",3,"Apple","1138","DE"
"100492486","7. Okt. 2025","Software developer",NA,"Ehemaliger Mitarbeiter, weniger als 1 Jahr","3.0","Great Time","Nice people all around, really","Not much to say here","none","none","none",3,"Apple","1138","DE"
"100278533","26. Sept. 2025","Enterprise support engineer","Cork","Ehemaliger Mitarbeiter","5.0","Was a good time","Amazing people, team and communication","Nothing which would concerned me","none","none","none",4,"Apple","1138","DE"
"100118451","19. Sept. 2025","Talent acquisition specialist","London, England","Ehemaliger Mitarbeiter","4.0","Talent Acquisition Specialist","Good learnings, insights - top notch culture.","Sometime not as genuine as could be.","positive","positive","positive",4,"Apple","1138","DE"
"99932963","10. Sept. 2025","Customer service","Cork","Ehemaliger Mitarbeiter, mehr als 3 Jahre","4.0","Pretty good","Easy work, great co-workers, Apple product discounts","Some managers were up too up in their own behinds, thinking they were rockstars. Guys you're just managers at the customer service department, business doesn't really care about you. The way work from home was handled was also last century.","positive","positive","positive",4,"Apple","1138","DE"
"99834873","6. Sept. 2025","Sales specialist","Berlin","Ehemaliger Mitarbeiter, mehr als 1 Jahr","2.0","Nicht wettbewerbsfähig","- reine bezahlung ist in Ordnung - Rabatte cool","- keine weiteren Vorteile wie bei anderen Firmen wie Aktienpakete bei Beförderung oÄ - keine richtige „Beförderung“ möglich, sondern man bewirbt sich immer auf die nächste Stelle, merkwürdiges System das eher auf die Interview-Perfomance abzielt und wenig auf Papier geleisteter Leistung - wer schleimt und einfach lange dabei ist, gewinnt. Leistungen sind eigentlich relativ egal, wer länger dabei ist, kriegt die Stelle. - Management größtenteils unfähig und häufig ohne jegliche Qualifikation dort wo sie sind","negative","neutral","negative",4,"Apple","1138","DE"
"99822266","5. Sept. 2025","Software engineer","Zürich","Aktueller Mitarbeiter, mehr als 1 Jahr","5.0","Good","Work environment is great. Flexible time.","No cons from my point of view","positive","positive","positive",4,"Apple","1138","DE"
"99545537","23. Aug. 2025","Research scientist","Zürich","Aktueller Mitarbeiter","5.0","Good working conditions","High salary, flexible working hours","Collaboration with mostly US (late meetings)","none","none","none",5,"Apple","1138","DE"
"99018739","29. Juli 2025","Software developer","San Francisco, CA","Aktueller Mitarbeiter","5.0","developer","good enviroment but could be better","quite good hours of working per week","none","none","none",5,"Apple","1138","DE"
"99013044","29. Juli 2025","Technical specialist","München, Bayern","Ehemaliger Mitarbeiter, mehr als 3 Jahre","1.0","Viel Schein, wenig Substanz – keine Empfehlung für den Store-Bereich","Einziger Lichtblick: Aktienpakete für Mitarbeitende – das war’s im Grunde auch schon.","Die Arbeitsbedingungen im Store sind eine Zumutung. Die Atmosphäre ist von Stress, Personalmangel und fehlender Wertschätzung geprägt. Seit mindestens zwei Jahren ist der Standort unterbesetzt, was zu massiver Überlastung führt – auf Verbesserungen wartet man vergeblich. Mitarbeiter, die mit Führungskräften privat bekannt sind, werden klar bevorzugt. Wer Missstände anspricht, riskiert Abmahnungen oder unangekündigte Gespräche. Kritik oder Vorschläge sind unerwünscht. Kommunikation auf Managementebene ist intransparent und oft widersprüchlich – sogar formale Dokumente wie Abmahnungen enthalten grobe Fehler. Work-Life-Balance: Nicht vorhanden. Freie Wochenenden sind quasi ausgeschlossen, Dienstpläne schlecht durchdacht. Schichtwechsel zwischen Spät- und Frühdiensten mit minimalen Erholungsphasen sind normal. Freizeit bleibt auf der Strecke. Karriere & Weiterbildung: ""Mehr leisten"" gilt als Weiterbildung – ohne Perspektive oder angemessene Anerkennung. Angebote sind oft einseitig und bringen keine echte Entwicklung. Gleichberechtigung & Führung: Vitamin B entscheidet mit. Führungskräfte wirken oft unqualifiziert oder desinteressiert. Entscheidungen wirken willkürlich oder politisch motiviert. Fairness im Team? Fehlanzeige. Gehalt & Anerkennung: Nicht leistungs- oder erfahrungsbezogen. Teilweise verdienen Kolleg:innen mit weniger Verantwortung und Erfahrung mehr – ohne transparente Begründung. Auf Nachfrage heißt es sinngemäß: „Sei froh, dass du hier arbeitest.“ Fazit: Wer sich für Apple interessiert, sollte einen großen Bogen um den Store-Bereich machen – zumindest in meiner Erfahrung. Nach außen glänzt das Unternehmen mit Werten wie Gleichberechtigung und Nachhaltigkeit, intern ist vieles davon leider nur Marketing","negative","negative","negative",5,"Apple","1138","DE"
"98659578","13. Juli 2025","Love my job","Berlin","Ehemaliger Mitarbeiter, mehr als 1 Jahr","5.0","Amazing","Very good working atmosphere and people.","Not enough free time for us.","positive","positive","positive",5,"Apple","1138","DE"
"98397478","1. Juli 2025","Team coordinator","Berlin","Ehemaliger Mitarbeiter, mehr als 1 Jahr","5.0","Team Coordinator","gute bezahlung, team, vorgesetzte, essen","nichts nichts nichts nichts nichts","positive","positive","positive",5,"Apple","1138","DE"
